,Country,2016,2017,2018
0,Algeria,"1,952","1,561","2,897"
1,Ethiopia,"4,000","4,500 ","4,496 "
2,Niger,102,34,57
3,Angola,108,80,184
4,Gabon,32,26,41
5,Rwanda,412,277,542
6,Benin,914,617,611
7,Gambia,67,46,64
8,Sao Tome And Principe,2,0,0
9,Botswana,4,15,10
10,Ghana,"3,179","3,170","3,549"
11,Senegal,427,357,400
12,Burkina Faso,199,217,317
13,Guinea,"1,818","1,233","1,470"
14,Seychelles,0,1,0
15,Burundi,208,106,193
16,Guinea-Bissau,4,3 ,5 
17,Sierra Leone,"2,141","2,065","1,790"
18,Cape Verde,6,7,24
19,Kenya,"2,729","2,090","2,997"
20,Somalia,272,215,436
21,Cameroon,"3,047","2,096","3,720"
22,Lesotho,5,1,4
23,South Africa,535,427,500
24,Central African Republic,23,9,17
25,Liberia,4,"3,105","3,989"
26,South Sudan,17,17,34
27,Chad,40,52,85
28,Libya,240,274,441
29,Sudan,"3,216","2,522","3,781"
30,Comoros,3,5,7
31,Madagascar,75,13,50
32,Swaziland,7,4,3
33,"Congo, Republic Of The",124,94,240
34,Malawi,17,17,36
35,Tanzania,93,89,173
36,"Congo, Democratic Republic Of
The","4,475","3,835","4,497"
37,Mali,114,82,126
38,Togo,"1,241",963,"1,667"
39,Cote D'Ivoire,"1,129",891,"1,029"
40,Mauritania,15,27,79
41,Tunisia,227,169,181
42,Djibouti,92,53,121
43,Mauritius,41,9,24
44,Uganda,453,240,485
45,Egypt,"4,024","4,501","4,495"
46,Morocco,"1,993","1,905","2,719"
47,Zambia,57,36 ,68
48,Equatorial Guinea,0,3,11
49,Mozambique,11,7,6
50,Zimbabwe,152,106  ,149
51,Eritrea,544,316,556
52,Namibia,18,12,16
53,Afghanistan,406,285,636
54,Japan,302,204,263
55,Qatar,42,33,46
56,Bahrain,13,12,14
57,Jordan,349,259,447
58,Saudi Arabia,267,253,489
59,Bhutan,22,16,16
60,North Korea,0,0,1
61,Singapore,39,20,43
62,Brunei,1 ,0,2
63,Kuwait,143,101,167
64,Sri Lanka,704,375,777
65,Burma,236,213,209
66,Laos,1,0,6
67,Syria,460,356,414
68,Cambodia,"1,229",824,390
69,Lebanon,225,183,221
70,Taiwan,297,260,318
71,"Hong Kong Special Administrative
Region",151,37,84
72,Malaysia,95,39,70
73,Thailand,73,41,60
74,Indonesia,126,115,167
75,Maldives,3,0,4
76,Timor-Leste,0,0,0
77,Iran,"4,501","4,500","4,500"
78,Mongolia,185,144,197
79,United Arab Emirates,103,97,197
80,Iraq,330,302,754
81,Nepal,"3,801","4,000","4,097"
82,Yemen,724,694,"1,239"
83,Israel,162,127,159
84,Oman,12,9,10
85,Albania,"1,931","2,373","4,484"
86,Greece,93,86,171
87,Norway,35,24,47
88,Andorra,0,0,0
89,Hungary,186,153,205
90,Poland,629,517,863
91,Armenia,"1,277","1,669","2,844"
92,Iceland,3,13,13
93,Portugal,58,36,84
94,Austria,50,71,89
95,Ireland,89,63,123
96,Macau,23,0,5
97,Azerbaijan,380,470,961
98,Italy,410,443,546
99,Romania,626 ,480,516
100,Belarus,811,899,"1,466"
101,Kazakhstan,376,518,"1,020"
102,Russia,"2,200","2,290","4,500"
103,Belgium,47,95,86
104,Kosovo,244,348,464
105,San Marino,0,0,0
106,Bosnia And Herzegovina,92,119,92
107,Kyrgyzstan,209,292,753
108,Serbia,283,376,560
109,Bulgaria,865,666,776
110,Latvia,73,64,91
111,Slovakia,70,49 ,82
112,Croatia,67,36,63
113,Liechtenstein,0,3,0
114,Slovenia,33,16,10
115,Cyprus,28,12,19
116,Lithuania,153,183,257
117,Spain,193,204,311
118,Czech Republic,74,53,95
119,Luxembourg,0,5,2
120,Sweden,108,94,130
121,Denmark,35,44,45
122,Macedonia,258,286,514
123,Switzerland,122,96,85
124,Estonia,40,34,61
125,Malta,0,3,2
126,Tajikistan,337,414 ,"1,209"
127,Finland,57,51,68
128,Moldova,"1,854","1,762","1,418"
129,Turkey,"1,795","2,186","4,390"
130,France,510,467,649
131,Monaco,0,4,3
132,Turkmenistan,124,91,306
133,French Polynesia,1,1,15
134,Montenegro,8,25,38
135,Ukraine,"4,507","4,500","4,478"
136,Saint Martin,1,4,4
137,Netherlands,81,82,79
138,Uzbekistan,"4,300","4,501","4,494"
139,Aruba,4,2,8
140,Vatican City,0,0 ,0 
141,Georgia,571,680 ,"1,195 "
142,Curacao,2,1,10
143,Germany,678,532,886
144,Northern Ireland,9,13,16
145,Bahamas,16,10,15
146,Australia,832,748,"2,154"
147,Nauru,12,5,25
148,Samoa,5,10,10
149,New Zealand,208,213,546
150,Solomon Islands,0,0,10
151,Fiji,393,404,900
152,Cook Islands,4,8,19
153,Tonga,26,42,129
154,Kiribati,4,3,18
155,Palau,4,0,3
156,Tuvalu,0,1,0
157,Marshall Islands,0,0,0
158,Papua New Guinea,3,6,23
159,Vanuatu,5,5,17
160,"Micronesia, Federated States Of",3,2,6
161,Antigua And Barbuda,0,11,2
162,Dominica,6,8,8
163,Saint Kitts And Nevis,2,0,1
164,Argentina,68,53,109
165,Grenada,7,7,11
166,Saint Lucia,5,9,14
167,Barbados,0,1,2
168,Guatemala,31,29,120
169,Saint Vincent And The Grenadines,7,4,8
170,Belize,0,3,1
171,Guyana,14,10,10
172,Suriname,3,0,6
173,Bolivia,49,30,52
174,Honduras,73,44,144
175,Trinidad And Tobago,51,34,79
176,Chile,17,27,76
177,Nicaragua,58,9,51
178,Uruguay,21,12,36
179,Costa Rica,50,18,66
180,Panama,5,12,22
181,Venezuela,"1,038","1,134","2,209"
182,Cuba,"1,488",493,733
183,Paraguay,7,3,7
184,Svalbard,0,0,1
185,Faroe Islands,0,0,2
186,New Caledonia,0,0,2
187,Niue,0,0,1
188,Tokelau,0,0,2
189,Ecuador,0,0,"1,228"
